Artist | Song | Album | Year
Polo G, Stunna 4 Vegas, NLE Choppa, Mike WiLL Made-It | Go Stupid | THE GOAT | 2020
NLE Choppa | Camelot | Camelot | 2019
Gspread | Man Like | Man Like | 2019
Enya | Caribbean Blue | Themes From "Calmi Cuori Appassionati" | 2001
Shakira, Freshlyground | Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground) | Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground) | 2010
Ahmed Spins, Stevo Atambire | Anchor Point | Anchor Point EP | 2022
Genjutsu Beats | Ça flingue | Ça flingue | 2021
El Alfa, Chael Produciendo | Gogo Dance | Sabiduria | 2022
YNW BSlime | Just Want You | Baby Goat | 2019
Migos | Get Right Witcha | Culture | 2017
RALAN STYLES | Baby Shark | Baby Shark | 2022
Nicki Minaj, Drake | Moment 4 Life | Pink Friday | 2010
Kyanq | Kavkaz Style | Kavkaz Style | 2021
21 Savage | ball w/o you | i am > i was | 2018
P-Square | Shekini | Double Trouble | 2014
Milky Chance | Down By The River | Sadnecessary | 2013
Post Malone | White Iverson | Stoney (Deluxe) | 2016
Harley | Supalife 4 | Supalife 4 | 2022
Justice | Genesis | Justice | 2007
Justice | D.A.N.C.E | Justice | 2007
Tame Impala | Borderline | The Slow Rush | 2020
Omega, Roberto Ferrante | Si Te Vas / Que Tengo Que Hacer - Original Remix | El Dueño Del Flow (Bonus Track Version) | 2009
T.I., Rihanna | Live Your Life | Paper Trail | 2008
Fumez The Engineer, A92, Offica | A92 x Fumez The Engineer - Plugged In Freestyle | A92 x Fumez The Engineer - Plugged In Freestyle | 2020
Fumez The Engineer, Russ Millions | Russ Millions x Fumez The Engineer - Plugged In | Russ Millions x Fumez The Engineer - Plugged In | 2021
El Alfa | Chu Chu Pamela | Chu Chu Pamela | 2022
50 Cent, Nate Dogg | 21 Questions | Get Rich Or Die Tryin' | 2003
Digga D | STFU | STFU | 2022
Avicii | Addicted To You | True | 2013
Digga D, Still Brickin' | Pump 101 | Noughty By Nature (Extended Edition) | 2022
Mura Masa, Pa Salieu, Skillibeng | blessing me (with Pa Salieu & Skillibeng) | demon time | 2022
Kanye West | Can't Tell Me Nothing | Graduation | 2007
Whethan, midwxst, Yeat, Matt OX | LOCK IT UP (feat. Yeat, midwxst & Matt Ox) | MIDNIGHT | 2022
Travis Scott, Rich Homie Quan, Young Thug | Mamacita (feat. Rich Homie Quan & Young Thug) | Mamacita (feat. Rich Homie Quan & Young Thug) | 2014
Kanye West | Stronger | Graduation | 2007
De Lorra | Slow Drip | Unconditional | 2019
Snoop Dogg, R. Kelly | That's That Shit | Tha Blue Carpet Treatment | 2006
Eminem, Dina Rae | Superman | The Eminem Show | 2002
Rick James | Super Freak | Street Songs (Deluxe Edition) | 1981
Herb Alpert & The Tijuana Brass | Ladyfingers | Whipped Cream & Other Delights | 1965
Aventura, Judy Santos | Obsesion | We Broke The Rules | 2002
Lil Uzi Vert | Just Wanna Rock | Just Wanna Rock | 2022
Migos, Drake | Walk It Talk It | Culture II | 2018
Migos | Narcos | Culture II | 2018
Rich The Kid | Plug Walk | The World Is Yours | 2018
Quavo, Lil Baby | LOSE IT (feat. Lil Baby) | QUAVO HUNCHO | 2018
Quavo | LAMB TALK | QUAVO HUNCHO | 2018
Kodak Black, Offset, Travis Scott | ZEZE (feat. Travis Scott & Offset) | Dying to Live | 2018
Quavo | GO ALL THE WAY | QUAVO HUNCHO | 2018
Kanye West | Violent Crimes | ye | 2018
Kali Uchis | telepatía | Sin Miedo (del Amor y Otros Demonios) ∞ | 2020
Kali Uchis, Tyler, The Creator, Bootsy Collins | After The Storm (feat. Tyler, The Creator & Bootsy Collins) | Isolation | 2018
Amaarae, Kali Uchis, MOLIY | SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy) | SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy) | 2021
DJ TENEBROSO ORIGINAL, Mc Danflin | Montagem Orquestra Sinfônica | Montagem Orquestra Sinfônica | 2022
INTERWORLD | METAMORPHOSIS 2 | METAMORPHOSIS 2 | 2022
Doe Boy | PEP IN MY STEP | CATCH ME IF YOU CAN | 2022
Doe Boy | 3AM IN LA | OH REALLY | 2022
Trippie Redd, DaBaby | Death | A Love Letter To You 4 | 2019
Migos, Post Malone | Notice Me | Culture II | 2018
Poundz, J.B2 | Mourinho | Mourinho | 2019
MC Rogê, DJ Meek, Boladinho DJ, Mc G Talibã | Saquarema | Saquarema | 2020
Ugly Andz. | Magnum | Magnum | 2022
Ugly Andz. | Foreigner | Foreigner | 2022
Yeat | Talk | Lyfë | 2022
Farruko | Pepas | Pepas | 2021
Metro Boomin, Travis Scott, 21 Savage | Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage] | HEROES & VILLAINS | 2022
Metro Boomin, A$AP Rocky, Takeoff | Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff) | HEROES & VILLAINS | 2022
Metro Boomin, John Legend | On Time (with John Legend) | HEROES & VILLAINS | 2022
Morris | Desire - Play & Win Radio Edit | Supervara 2009 | 2009
Strandz | Us Against The World | Us Against The World | 2022
Alexandra Stan | Mr. Saxobeat | Saxobeats | 2011
Major Lazer, J Balvin, El Alfa, Diplo | Que Calor (with J Balvin & El Alfa) | Que Calor (with J Balvin & El Alfa) | 2019
Kali Uchis | Dead To Me | Isolation | 2018
Burna Boy | Ye | Outside | 2018
1da Banton, Zlatan | No Sleeping | Original Vibe Machine | 2021
Skillibeng, Unknown T | Wollan | Wollan | 2021
pearl, fast forward >>, Tazzy | waste - sped up + reverb | waste - sped up + reverb | 2022
(((()))), surround., Tazzy | I Will Be One Of The Greatest - 8D Audio | I Will Be One Of The Greatest - 8D Audio | 2022
M83, Felsmann + Tiley | Solitude - Felsmann + Tiley Reinterpretation | Solitude (Felsmann + Tiley Reinterpretation) | 2020
Sha Gz | New Opp | New Opp | 2022
Etta James | At Last | At Last! | 1960
Skepta | Lit Like This | All In | 2021
Wale, Lady Gaga | Chillin | Attention Deficit | 2009
Os Quebradeiras, Mousik, Machadez | Pagodão do Birimbola (Tchubirabirom) | Pagodão do Birimbola (Tchubirabirom) | 2022
DJEZJA, Rockywhereyoubeen | SEMTEX | SEMTEX | 2019
Enya | Orinoco Flow | Themes From "Calmi Cuori Appassionati" | 2001
Juice WRLD, Marshmello | Come & Go (with Marshmello) | Legends Never Die | 2020
2Pac, Big Syke | All Eyez On Me (ft. Big Syke) | All Eyez On Me | 1996
Wizkid | Joro | Joro | 2019
Nateki, SLOWYMANE | Cruel | Cruel | 2022
Coco & Clair Clair, Okthxbb | Pretty | Pretty | 2017
Skales | Shake Body | Man Of The Year | 2015
Amr Diab | Nour El Ein | Nour El Ein | 1995
LMFAO, Lauren Bennett, GoonRock | Party Rock Anthem | Sorry For Party Rocking | 2011
Vangelis | La petite fille de la mer - Remastered | Vangelis: Delectus (Remastered) | 2016
Freddie Gibbs, The Alchemist, Conway the Machine | Babies & Fools (feat. Conway the Machine) | Alfredo | 2020
fairview huna, FO3 Bear, FV Faizo | Not one of them | Dont be a menace to rag3city | 2022
Kendrick Lamar | N95 | Mr. Morale & The Big Steppers | 2022
A$AP Rocky | Peso | Peso | 2011
Mc Vuk Vuk, DJ RD DA DZ7 | Melodia da Alegria | Melodia da Alegria | 2022
French Montana, Harry Fraud, EST Gee | Keep It Real | Keep It Real | 2022
Jo.Ke, Nu | Who Loves The Sun | We Love The Sun | 2011
Rich The Kid | Easy | BOSS MAN | 2020
O.T. Genasis, E-40, G-Eazy, Rich The Kid | Bae (Remix) [feat. G-Eazy, Rich the Kid & E-40] | Bae (Remix) [feat. G-Eazy, Rich the Kid & E-40] | 2019
Drake, 21 Savage | More M’s | Her Loss | 2022
Daler Mehndi | Tunak Tunak Tun | Tunak Tunak Tun | 1998
Ron Suno | GRABBA | JOKES UP | 2021
Dougie B | Forever On That | Nobody Bigger | 2022
The Weeknd | Party Monster | Starboy | 2016
Coi Leray | Players | Players | 2022
Kidda | Low | Low | 2022
Metro Boomin, Future, Don Toliver | Too Many Nights (feat. Don Toliver & with Future) | HEROES & VILLAINS | 2022
Russ Millions | Detty | Detty | 2023
El Alfa | Sientate en Ese Deo | El Hombre | 2018
Chief Keef | Earned It | Earned It | 2015
Ron Suno | DOOR | DOOR | 2023
Kendrick Lamar | Swimming Pools (Drank) | Swimming Pools (Drank) | 2012
N.W.A. | Straight Outta Compton | Straight Outta Compton | 1988
Ice Cube, Das EFX | Check Yo Self - Remix | Bootlegs And B-Sides | 1994
Grandmaster Flash | The Message | Kings of the Streets - The Definitive Anthology | 2010
ICE-T | 6 'N the Mornin' | Rhyme Pays | 1987
Tear Da Club Up Thugs, Three 6 Mafia | Slob On My Nob | Crazyndalazdayz | 2000
Three 6 Mafia | Stay Fly | Most Known Unknown (Explicit) | 2005
A$AP Rocky | Babushka Boi | Babushka Boi | 2019
A$AP Rocky, Drake, 2 Chainz, Kendrick Lamar | F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar) | LONG.LIVE.A$AP (Deluxe Version) | 2013
Flume, Tove Lo | Say It | Skin | 2016
Duke Dumont, Jax Jones | I Got U | I Got U | 2014
The Verve | Bitter Sweet Symphony - Remastered 2016 | Urban Hymns (Remastered 2016) | 1997
DMX | Ruff Ryders' Anthem | It's Dark And Hell Is Hot | 1998
Silva | Youngstar | Youngstar | 2022
Meek Mill | Sho | Meekend | 2017
Rampa, chuala, Keinemusik | Les Gout | Les Gout | 2022
Lil Elt | Get the Gat | Get the Gat | 1992
Endor | Pump It Up | Pump It Up | 2019
Metro Boomin, Future, Don Toliver | I Can't Save You (Interlude) [with Future & feat. Don Toliver] | HEROES & VILLAINS | 2022
Eminem | My Name Is | The Slim Shady LP | 1999
Slowboy, lucaf., Crazy Mano | Brazilian Phonk Mano - Slowed | Brazilian Phonk Mano (Slowed) | 2023
Pop Smoke | Merci Beaucoup | Faith | 2021
Corey St.Rose, Flipp Dinero | MMM - Remix | MMM Remix | 2022
Saiming, dilushselva | WOOF MEOW | WOOF MEOW | 2022
KYSLINGO | The Law of Recognition | The Law of Recognition | 2020
Sizzla | Nah Apologize | Nah Apologize | 2005
DM 90 | In Uber | In Uber | 2021
Khaled, Pitbull | Hiya Hiya | C'Est La Vie | 2012
Pierre Jean, TJO ZENNY | She's Hot | She's Hot | 2021
Lil Uzi Vert | SideLine Watching (Hold Up) | The Perfect LUV Tape | 2016
El Alfa, Bryant Myers | La Pegajosa (feat. Bryant Myers) | Disciplina (Puerto Rico Edition) | 2018
YoungBoy Never Broke Again | Make No Sense | AI YoungBoy 2 | 2019
Pooh Shiesty, G Herbo, No More Heroes | Switch it Up (feat. G Herbo, No More Heroes) | Shiesty Season - Spring Deluxe | 2021
SNAP! | Rhythm Is A Dancer | The Madman's Return | 1992
El Alfa, Lil Pump | Coronao Now | Coronao Now | 2019
Russ Millions | WET | One Of A Kind | 2023
Pooh Shiesty, Lil Durk | Back in Blood (feat. Lil Durk) | Shiesty Season | 2021
Lil Vada, DonnySolo | Eat It Up | Eat It Up | 2022
El Alfa, Chael Produciendo | Singapur | El Androide | 2020
Oxlade | KU LO SA - A COLORS SHOW | KU LO SA - A COLORS SHOW | 2022
Baauer, AJ Tracey, Jae Stephens | 3AM | 3AM | 2018
Mike Dimes | HEAVY METAL | HEAVY METAL | 2023
SweepersENT | Sdot Go - WNA | Sdot Go - WNA | 2022
RXKNephew | Dominican Plug | Domimican Plug | 2019
Quavo | Greatness | Greatness | 2023
Russ Millions | Diamonds | One Of A Kind | 2023
Digga D | Energy | Energy | 2023
Lil Baby | Pure Cocaine | Street Gossip | 2018
Migos | Straightenin | Culture III | 2021
Travis Scott | goosebumps | Birds In The Trap Sing McKnight | 2016
Skillibeng, Nardo Wick | 16CHOPPA (feat. Nardo Wick) | 16CHOPPA (feat. Nardo Wick) | 2023
Ezekiel | going quietly | Ezekiel Singles ’18-‘20 | 2021
Gliese | Rythm is a Dancer | Best of Dance Disco Music Hits 80's 90's. La Mejor Música Dance Y Disco De Los 80 90 | 2013
MadeinTYO | HUNNIDDOLLA | HUNNIDDOLLA | 2021
Kid Cudi, Travis Scott | Baptized In Fire | Passion, Pain & Demon Slayin' | 2016
5EB | no hablo español | no hablo español | 2023
Amaarae | Reckless & Sweet | Reckless & Sweet | 2023
NxxxxxS, Freddie Dredd | Slump | Slump | 2023
Playboi Carti | Over | Whole Lotta Red | 2020
Yung Gravy, bbno$ | Rotisserie | Baby Gravy EP | 2017
Night Lovell | Dark Light | Concept Vague | 2014
Dom Corleo | Penthouse Shordy | Penthouse Shordy | 2022
Babyface Ray | Fake Luv | For You | 2020
Lil Skies, Rich The Kid | Creeping (feat. Rich the Kid) | Creeping (feat. Rich the Kid) | 2018
Trippie Redd | Oomps Revenge | LIFE'S A TRIP | 2018
A$AP Rocky, Mos Def, Acyde, Yams | Back Home (feat. Mos Def, Acyde & Yams) | AT.LONG.LAST.A$AP | 2015
Rae Sremmurd | This Could Be Us | SremmLife | 2015
Montell Fish | Fall in Love with You. | JAMIE | 2022
Key Glock | Mr. Glock | Yellow Tape | 2020
Key Glock | Russian Cream | Glock Bond | 2018
Billie Eilish | everything i wanted | everything i wanted | 2019
Louis Armstrong | La vie en rose - Single Version | The Best Of The Decca Years Volume One: The Singer | 1989
Samsonyte, ScottyMay | Lucy | The Muse | 2017
Kiko el Crazy, El Alfa | Pichirry | Pichirry | 2023
LeoKarlo | Escape | Escape | 2023
Mr. Probz, Robin Schulz | Waves - Robin Schulz Radio Edit | Waves (Robin Schulz Radio Edit) | 2014
Toquinho, Vinícius de Moraes | A Tonga Da Mironga Do Kabuletê | 10 Anos De Toquinho Vinicius | 1979
The Chords | Sh-Boom | Presenting The Chords | 1954
G-Unit | I'm So Hood | Beg For Mercy | 2003
Freddie Dredd | Killin' on Demand | Killin' on Demand | 2018
B I L L Y G | 0% QUÁ TÉLA | billy.exe | 2022
Vanyfox | Clouds | Clouds | 2018
Victony, KTIZO | Jolene | Outlaw | 2022
Babyboy AV | Confession | Confession | 2021
Mulatoh Prod | Tom Tom | Tom Tom | 2021
50 Cent | Hustler's Ambition | Get Rich Or Die Tryin'- The Original Motion Picture Soundtrack | 2005
Lucenzo, Don Omar | Danza Kuduro - Version MTO | Emigrante Del Mundo (Remastered) | 2011
Mr Boy | Tuf Tuf Pof Pof Vapo Vapo (Dj Olliver) | Tuf Tuf Pof Pof Vapo Vapo (Dj Olliver) | 2022
Jace! | Gostyle 2023 Freestyle | Gostyle 2023 Freestyle | 2023
SugarHill Keem | Can't Wait | KING OF DRILL | 2022
Destroy Lonely | if looks could kill | if looks could kill | 2023
LUCKI | Leave Her | Leave Her | 2023
Godfather of Harlem, Swizz Beatz, A.CHAL, Jidenna | Cross the Path (feat. Swizz Beatz, A.CHAL & Jidenna) | Cross the Path (feat. Swizz Beatz, A.CHAL & Jidenna) | 2019
Demm Deep, Reckz'Capo | Diana | Diana | 2022
Dalida | Love In Portofino | Les Annees Barclay | 1991
Drake | Energy | If You're Reading This It's Too Late | 2015
Kanye West, Big Sean, Pusha T, 2 Chainz | Mercy | Mercy | 2012
Trippie Redd, Juice WRLD | 1400 / 999 Freestyle | A Love Letter To You 3 | 2018
Travis Scott | YOSEMITE | ASTROWORLD | 2018
Travis Scott | BUTTERFLY EFFECT | ASTROWORLD | 2018
Travis Scott | ASTROTHUNDER | ASTROWORLD | 2018
Travis Scott | SKELETONS | ASTROWORLD | 2018
Travis Scott | NO BYSTANDERS | ASTROWORLD | 2018
Flipp Dinero | Leave Me Alone | LOVE FOR GUALA | 2019
Travis Scott | HIGHEST IN THE ROOM | HIGHEST IN THE ROOM | 2019
Lil Uzi Vert | New Patek | New Patek | 2018
D-Block Europe | Darling | PTSD | 2019
Don't Hang Me | Blame It on the Night | Blame It on the Night | 2014
Miami Band | Ya Helwakom | Miami 2003 | 2006
Miami Band | بستانس | Bastans | 2016
FendiDa Rappa | Point Me To The Slut's | Point Me To The Slut's | 2022
Gipsy Kings | Volare (Nel Blu di Pinto di Blu) | Mosaïque | 1989
Harry Belafonte | Day-O (The Banana Boat Song) | Musical Moments to Remember: Harry Belafonte – Mister Calypso in Studio & On Stage (2015 Digital Remaster) | 2015
Harry Belafonte | Jump in the Line | Jump Up Calypso | 1961
Eduardo Mateo, Diane Denoir | Señora Diana La Ví | El Tartamudo | 2001
Jain | Makeba | Zanaka | 2016
Massari | Be Easy | Massari | 2005
Saber Rebai | Sidi Mansour | Sidi Mansour | 2002
Khaled | Ana Âacheck | C'Est La Vie | 2012
Kaan Simseker | Deep Force | Deep Force | 2023
RAIIN | MAKE A MOVE | FEAR NO EVIL | 2022
Zuchu | Nani | Nani | 2023
INNA, Bob Taylor | Deja Vu | Hot | 2010
Nemzzz | FYP | NEMZZZ TYPE BEAT | 2023
Os Originais Do Samba | Falador Passa Mal | É Preciso Cantar | 1973
Akon, Eminem | Smack That | Konvicted | 2006
Khaled | Aïcha - Version Mixte | Sahra | 1996
Mc Delux, DJ ABDO, CLUB DA DZ7 | EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI | EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI | 2022
DJ Dudah, MC Saci do Pira, MC Jotinha | Montagem - Videogame Alucinante | Montagem - Videogame Alucinante | 2023
DJ LZIN, MC PR, Mc Gw | MTG - INSURDECEDORA 3.0 | MTG - INSURDECEDORA 3.0 | 2022
DJ AG O GRINGO, Mc Luan | HOJE EU VOU COMER NOVINHA 02 | HOJE EU VOU COMER NOVINHA 02 (Sped Up) | 2023
S3BZS | MONTAGEM - PR FUNK | MONTAGEM - PR FUNK | 2023
Migos | Stir Fry | Culture II | 2018
YNW Melly, 9lokknine | 223's (feat. 9lokknine) | 223's (feat. 9lokknine) | 2019
DJ Roca, Vitu Único, DJ TWOZ, Mc Delux, Mc Gw, MC Pipokinha | Soca Soca Vai Piranha, Eu Te Empurrando a Piroca | Soca Soca Vai Piranha, Eu Te Empurrando a Piroca | 2023
LXNGVX | YUM YUM (Slowed) | YUM YUM | 2023
Don Omar | Dale Don Dale | The Last Don | 2003
DJ Blakes, DJ MK DA DZ7, MC VN Cria, MC Morena de SP | Montagem Game 196 e Nem Começou o Filme (feat. MC Morena de SP) | Montagem Game 196 e Nem Começou o Filme | 2023
Raïna Raï | Zina | Zina | 1999
glichery | Sea Of Problems | Sea Of Problems | 2023
Slowboy, lucaf., Crazy Mano | Brazilian Phonk Mano | Brazilian Phonk Mano | 2023
Wiz Khalifa | Black and Yellow | Rolling Papers | 2011
Kassav' | Zouk-la Sé Sel Médikaman Nou Ni | Best Of | 2006
Digga D | Kindness For Weakness | Back To Square One (Bluuwuu Edition) | 2023
Sethii Shmactt, Kinkyy, Afrodisiac | Nice To Meet You (Intro) | Super Shmactt Bros. | 2023
Fredo Bang | Say Please | UNLV | 2022
Desktop, Ricky Desktop, Sheff G, Quelly Woo | Eazy Money | Eazy Money | 2022
That Mexican OT, DRODi | La Cobra | La Cobra | 2021
DJ KLP OFC | MONTAGEM RELAXA MENTE | MONTAGEM RELAXA MENTE | 2022
Men Without Hats | The Safety Dance | The Safety Dance | 2010
Topshakaz | Kold Blooded Soulja | Kold Blooded Soulja | 2022
Chris Isaak | Wicked Game | Heart Shaped World | 1989
Blanco | Brilliant Mind | ReBourne | 2023
Blanco | Londis | ReBourne | 2023
Lone | Pineapple Crush | Pineapple Crush / Angel Brain | 2010
Sleepy Hallow, Doechii | ANXIETY (feat. Doechii) | Boy Meets World | 2023
Pete Seeger | Which Side Are You On | The Essential Pete Seeger | 2013
Men At Work | Down Under | The Best Of Men At Work: Contraband | 1996
msht | OneShot - Slowed + Reverb | OneShot (Remixes) | 2023
Grover Washington, Jr., Bill Withers | Just the Two of Us (feat. Bill Withers) | Anthology | 1985
George Michael | Careless Whisper | Ladies And Gentlemen... The Best Of George Michael | 1998
Michael Bublé | Sway | Michael Bublé | 2003
Michael Bublé | L O V E | Call Me Irresponsible (Deluxe) | 2007
Paul Anka | Put Your Head on My Shoulder | Sings His Favorites | 1966
Dean Martin | Everybody Loves Somebody | Everybody Loves Somebody | 1964
Elvis Presley | (You're The) Devil in Disguise | Elvis 30 #1 Hits | 2002
Frank Sinatra, Count Basie | Fly Me To The Moon - 2008 Remastered | Nothing But The Best (2008 Remastered) | 2008
Paul Anka | Put Your Head On My Shoulder | Put Your Head On My Shoulder: The Very Best Of Paul Anka | 2000
Boys Town Gang | Can't Take My Eyes Off You - Original Extended Version | Disc Charge | 1982
Mac DeMarco | For the First Time | This Old Dog | 2017
ABBA | Angeleyes | Voulez-Vous | 1979
Michael Bublé | Feeling Good | It's Time | 2005
Sade | Smooth Operator - Single Version | The Best of Sade | 1994
Eek-A-Mouse | Ganja Smuggling | Wa-Do-Dem | 1981
Kenny Dorham | Lotus Blossom | Quiet Kenny | 1992
DJ JOTA ORIGINAL, MC BF | Ritmadinha Magnífica | Ritmadinha Magnífica | 2023
niteboi | u. | u. | 2017
Fadaei, Heydar | Maslahati | Hagh | 2022
Sade | Is It a Crime | The Best of Sade | 1994
