Artist | Song | Album | Year
Freddie Dredd | Endless Sea | Variety Pack EP, Vol. 1 | 2019
Freddie Dredd, Genshin | Runnin' | 8ball Playaz 1 & 2 | 2019
Freddie Dredd | Overload | 8ball Playaz 1 & 2 | 2019
Freddie Dredd | Creep Through the Street | 8ball Playaz 1 & 2 | 2019
Freddie Dredd | Taking a Risk | 8ball Playaz 1 & 2 | 2019
Freddie Dredd, Genshin | Razor Blade | 8ball Playaz 1 & 2 | 2019
Freddie Dredd | Joke | 8ball Playaz 1 & 2 | 2019
Freddie Dredd, Genshin, Slim Guerilla | In My Blood | 8ball Playaz 1 & 2 | 2019
Freddie Dredd | Devine | 8ball Playaz 1 & 2 | 2019
Freddie Dredd | Busy | 8ball Playaz 1 & 2 | 2019
Freddie Dredd, Jak3 | Fade Intro | Fade | 2018
Freddie Dredd, Apoc Krysis | Little Bitch | Fade | 2018
Freddie Dredd | Won't Go Far | Fade | 2018
Freddie Dredd | What I Mean | Fade | 2018
Freddie Dredd | Do Not | Fade | 2018
Freddie Dredd | Another Land | Fade | 2018
Freddie Dredd | Buck | Fade | 2018
Freddie Dredd | Blinded | Fade | 2018
Freddie Dredd | Weather | Weather | 2019
Freddie Dredd | WTH | Suffer | 2020
Freddie Dredd | Darko | Suffer | 2020
Freddie Dredd | Speak Up | Suffer | 2020
Freddie Dredd | Necklace | Suffer | 2020
Freddie Dredd | Tool | Suffer | 2020
Freddie Dredd | Blow | Suffer | 2020
Freddie Dredd | Stunna | Suffer | 2020
Freddie Dredd | Delete | Suffer | 2020
Freddie Dredd | Devil's Work | Suffer | 2020
Freddie Dredd | Knot Myself | Suffer | 2020
Freddie Dredd | Evil Fantasy | Evil Fantasy | 2018
Freddie Dredd | What You Know | Pink Lotus | 2018
Freddie Dredd | 289 | Pink Lotus | 2018
Freddie Dredd | Big No | Pink Lotus | 2018
Freddie Dredd | Waste | Pink Lotus | 2018
Freddie Dredd | Heavy | Pink Lotus | 2018
Freddie Dredd | Bastard | Pink Lotus | 2018
Freddie Dredd | Opaul | Opaul | 2018
Freddie Dredd, Soudiere | Oh Darling | Oh Darling | 2018
Freddie Dredd | Crown | Crown | 2018
Freddie Dredd | METÀ VITA | METÀ VITA | 2018
Freddie Dredd | Conductor | Conductor | 2018
Lil Peep, Lil Tracy | white tee | crybaby | 2016
Mac Miller | The Spins | K.I.D.S. | 2010
Kendrick Lamar | Bitch, Don’t Kill My Vibe | good kid, m.A.A.d city (Deluxe) | 2012
Lil Peep | Save That Shit | Come Over When You're Sober, Pt. 1 | 2017
Lil Peep | Star Shopping | Star Shopping | 2015
Lil Peep, Lil Tracy | cobain | EVERYBODY'S EVERYTHING | 2019
Lil Peep, Lil Tracy | witchblades | EVERYBODY'S EVERYTHING | 2019
Ghostemane | Fed Up | ANTI-ICON | 2020
Ghostemane | Mercury: Retrograde | Hexada | 2017
Ghostemane | Squeeze | Hexada | 2017
Ghostemane | Flesh | N / O / I / S / E | 2018
Elijah Who | i'm tired of feeling this way | i'm tired of feeling this way / lychee juice | 2017
Elijah Who | i love being with you | Gentle Boy | 2017
j^p^n | Amend | Spoils | 2016
j^p^n | Bloom | Offering | 2015
j^p^n | Loveyou | Unkind | 2018
j^p^n | Imperial | Prodigal | 2016
j^p^n | Prideful | Mercy | 2016
j^p^n | Getover | Spoils | 2016
j^p^n | Wrong | Unkind | 2018
j^p^n | Gates | Favor | 2016
j^p^n | Heartbreak | Unkind | 2018
Ennio Morricone | The Ecstasy Of Gold - 2004 Remaster | The Good, The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)] | 1967
Rihanna, Future | Loveeeeeee Song | Unapologetic (Deluxe) | 2012
Charlotte Gainsbourg | Deadly Valentine | Rest | 2017
Skepta, Nafe Smallz | Greaze Mode | Ignorance is Bliss | 2019
MC L da Vinte, MC Gury | Parado no Bailão | Parado no Bailão | 2018
Sufjan Stevens | Mystery of Love | Mystery of Love | 2017
Adele | Set Fire to the Rain | 21 | 2011
Adele | Rolling in the Deep | 21 | 2011
Adele | Someone Like You | 21 | 2011
Adele | When We Were Young | 25 | 2015
Adele | Make You Feel My Love | 19 | 2008
Adele | Skyfall | Skyfall | 2012
Ladytron | Ghosts | Velocifero | 2008
Erykah Badu | On & On | Baduizm | 1997
Jennifer Lopez, Pitbull | On The Floor | Love? | 2011
Mitski | Nobody | Be the Cowboy | 2018
21 Savage, Metro Boomin, Young Thug | Rich Nigga Shit (feat. Young Thug) | SAVAGE MODE II | 2020
lilbubblegum, Ciscaux | billie eilish | billie eilish | 2021
Earl Stan | Blind Boy | Blind Boy | 2020
Daft Punk | One More Time | Discovery | 2001
Bayou | Moonlight | Moonlight | 2019
CJ, French Montana, Rowdy Rebel | Whoopty NYC (feat. French Montana & Rowdy Rebel) | Whoopty NYC (feat. French Montana & Rowdy Rebel) | 2021
ABBA | Dancing Queen | Arrival | 1976
ABBA | Gimme! Gimme! Gimme! (A Man After Midnight) | Voulez-Vous | 1979
ABBA | Don't Shut Me Down | I Still Have Faith In You / Don't Shut Me Down | 2021
ABBA | Mamma Mia | Abba | 1975
ABBA | I Still Have Faith In You | I Still Have Faith In You / Don't Shut Me Down | 2021
ABBA | Take A Chance On Me | The Album | 1977
JACKBOYS, Sheck Wes | GANG GANG | JACKBOYS | 2019
Tatsuro Yamashita | ノスタルジア・オブ・アイランド | PACIFIC | 1978
Barbatuques | Baião Destemperado | Corpo Do Som | 2002
Unclenathannn, Shiloh Dynasty | No I Don't Want, Just Anyone | Our Remedy | 2018
Chris Brown, Yo Gotti, A Boogie Wit da Hoodie, Kodak Black | Pills & Automobiles (feat. Yo Gotti, A Boogie Wit Da Hoodie & Kodak Black) | Heartbreak on a Full Moon | 2017
1nonly, EGOVERT | Shakira! | Shakira! | 2020
Teddybears, Mad Cobra | Cobrastyle (feat. Mad Cobra) - As featured in Superman | Fresh | 2004
prvrln | Словно ветер в степи | native sound | 2021
Charli xcx, Kim Petras, Jay Park | Unlock it (Lock It) - feat. Kim Petras and Jay Park | Pop 2 | 2017
D. Savage | Opera | D Phoenix | 2018
Gioachino Rossini, Arthur Fiedler, Boston Pops Orchestra | William Tell Overture | I don't like classical music, but I really like this! | 2014
Léo Delibes, Mady Mesplé, Danielle Millet, Orchestre Du Theatre National De L'Opera Comique, Alain Lombard | Flower Duet | Fifty Shades Of Grey: The Classical Album | 2012
London Festival Orchestra | The Skater's Waltz | 2014 Sochi Winter Olympics Themes | 2014
Andre Kostelanetz, New York Philharmonic | Carmen: Habanera - Instrumental | Opera Without Words | 1989
Georges Bizet, Orchestre de Paris, Semyon Bychkov | Carmen Suite No. 1: 5. Les toréadors | Bizet: Carmen Suites; L'Arlésienne Suites | 1994
The Art Company | Susanna | Susanna | 1983
Jimmy Durante | Smile (From United Artists Film "Modern Times") | As Time Goes By: The Best Of Jimmy Durante | 1993
Louis Armstrong | La vie en rose | C'est Si Bon | 1990
Louis Armstrong | What A Wonderful World | What A Wonderful World | 1968
Louis Armstrong | Dream A Little Dream Of Me | What A Wonderful World | 1968
Ella Fitzgerald, Louis Armstrong | Cheek To Cheek | The Complete Ella And Louis On Verve | 1997
TOTO | Africa | Toto IV | 1982
Lady Gaga | Applause | ARTPOP | 2013
Ghostface Playa, Pharmacist | I Don't Give a Fuck | Cruisin’ Down Da Block | 2020
Kitty Kallen | Its Been a Long, Long Time | Little Things Mean a Lot | 2005
Virlan Garcia | Nadie Como Tú | Mi Vida Eres Tú | 2017
Wafia | Heartburn | Heartburn | 2015
SR | Welcome To Brixton | Welcome To Brixton | 2020
Bring Me The Horizon | Can You Feel My Heart | Sempiternal (Expanded Edition) | 2013
Pop Smoke, Dread Woo | Woo Year (feat. Dread Woo) | Shoot For The Stars Aim For The Moon (Deluxe) | 2020
Pop Smoke, Quavo | Aim For The Moon (feat. Quavo) | Shoot For The Stars Aim For The Moon (Deluxe) | 2020
Pop Smoke, Lil Baby, DaBaby | For The Night (feat. Lil Baby & DaBaby) | Shoot For The Stars Aim For The Moon (Deluxe) | 2020
Pop Smoke | 44 BullDog | Shoot For The Stars Aim For The Moon (Deluxe) | 2020
Pop Smoke | Gangstas | Shoot For The Stars Aim For The Moon (Deluxe) | 2020
Pop Smoke | Yea Yea | Shoot For The Stars Aim For The Moon (Deluxe) | 2020
Pop Smoke, Swae Lee | Creature (feat. Swae Lee) | Shoot For The Stars Aim For The Moon (Deluxe) | 2020
Pop Smoke, Quavo, Future | Snitching (feat. Quavo & Future) | Shoot For The Stars Aim For The Moon (Deluxe) | 2020
Pop Smoke, Rowdy Rebel | Make It Rain (feat. Rowdy Rebel) | Shoot For The Stars Aim For The Moon (Deluxe) | 2020
Pop Smoke, 50 Cent, Roddy Ricch | The Woo (feat. 50 Cent & Roddy Ricch) | Shoot For The Stars Aim For The Moon (Deluxe) | 2020
Pop Smoke, Tyga, Quavo | West Coast Shit (feat. Tyga & Quavo) | Shoot For The Stars Aim For The Moon (Deluxe) | 2020
Pop Smoke, KAROL G | Enjoy Yourself (feat. Karol G) | Shoot For The Stars Aim For The Moon (Deluxe) | 2020
Pop Smoke, Lil Tjay | Mood Swings (feat. Lil Tjay) | Shoot For The Stars Aim For The Moon (Deluxe) | 2020
Pop Smoke | Something Special | Shoot For The Stars Aim For The Moon (Deluxe) | 2020
Pop Smoke | What You Know Bout Love | Shoot For The Stars Aim For The Moon (Deluxe) | 2020
Pop Smoke, King Combs | Diana (feat. King Combs) | Shoot For The Stars Aim For The Moon (Deluxe) | 2020
